,id,brand_name,company_name,category,categoryKana
0,1332,日水,日本水産（株）,水産,すいさん
1,1333,マルハニチロ,マルハニチロ（株）,水産,すいさん
2,1605,国際石開帝石,国際石油開発帝石（株）,鉱業,こうぎょう
3,1721,コムシスＨＤ,コムシスホールディングス（株）,建設,けんせつ
4,1801,大成建,大成建設（株）,建設,けんせつ
5,1802,大林組,（株）大林組,建設,けんせつ
6,1803,清水建,清水建設（株）,建設,けんせつ
7,1808,長谷工,（株）長谷工コーポレーション,建設,けんせつ
8,1812,鹿島,鹿島建設（株）,建設,けんせつ
9,1925,ハウス,大和ハウス工業（株）,建設,けんせつ
10,1928,積ハウス,積水ハウス（株）,建設,けんせつ
11,1963,日揮,日揮（株）,建設,けんせつ
12,2002,日清粉Ｇ,（株）日清製粉グループ本社,食品,しょくひん
13,2269,明治ＨＤ,明治ホールディングス（株）,食品,しょくひん
14,2282,日ハム,日本ハム（株）,食品,しょくひん
15,2432,ディーエヌエ,（株）ディー・エヌ・エー,サービス,さーびす
16,2501,サッポロＨＤ,サッポロホールディングス（株）,食品,しょくひん
17,2502,アサヒ,アサヒグループホールディングス（株）,食品,しょくひん
18,2503,キリンＨＤ,キリンホールディングス（株）,食品,しょくひん
19,2531,宝ＨＬＤ,宝ホールディングス（株）,食品,しょくひん
20,2768,双日,双日（株）,商社,しょうしゃ
21,2801,キッコマン,キッコーマン（株）,食品,しょくひん
22,2802,味の素,味の素（株）,食品,しょくひん
23,2871,ニチレイ,（株）ニチレイ,食品,しょくひん
24,2914,ＪＴ,日本たばこ産業（株）,食品,しょくひん
25,3086,Ｊフロント,Ｊ．フロント　リテイリング（株）,小売業,こうりぎょう
26,3099,三越伊勢丹,（株）三越伊勢丹ホールディングス,小売業,こうりぎょう
27,3101,東洋紡,東洋紡（株）,繊維,せんい
28,3103,ユニチカ,ユニチカ（株）,繊維,せんい
29,3105,日清紡ＨＤ,日清紡ホールディングス（株）,電気機器,でんききき
30,3289,東急不ＨＤ,東急不動産ホールディングス（株）,不動産,ふどうさん
31,3382,セブン＆アイ,（株）セブン＆アイ・ホールディングス,小売業,こうりぎょう
32,3401,帝人,帝人（株）,繊維,せんい
33,3402,東レ,東レ（株）,繊維,せんい
34,3405,クラレ,（株）クラレ,化学,かがく
35,3407,旭化成,旭化成（株）,化学,かがく
36,3436,ＳＵＭＣＯ,（株）ＳＵＭＣＯ,非鉄・金属,ひてつきんぞく
37,3861,王子ＨＤ,王子ホールディングス（株）,パルプ・紙,ぱるぷかみ
38,3863,日本紙,日本製紙（株）,パルプ・紙,ぱるぷかみ
39,4004,昭電工,昭和電工（株）,化学,かがく
40,4005,住友化,住友化学（株）,化学,かがく
41,4021,日産化,日産化学（株）,化学,かがく
42,4042,東ソー,東ソー（株）,化学,かがく
43,4043,トクヤマ,（株）トクヤマ,化学,かがく
44,4061,デンカ,デンカ（株）,化学,かがく
45,4063,信越化,信越化学工業（株）,化学,かがく
46,4151,協和キリン,協和キリン（株）,医薬品,いやくひん
47,4183,三井化学,三井化学（株）,化学,かがく
48,4188,三菱ケミＨＤ,（株）三菱ケミカルホールディングス,化学,かがく
49,4208,宇部興,宇部興産（株）,化学,かがく
50,4272,日化薬,日本化薬（株）,化学,かがく
51,4324,電通,（株）電通,サービス,さーびす
52,4452,花王,花王（株）,化学,かがく
53,4502,武田,武田薬品工業（株）,医薬品,いやくひん
54,4503,アステラス,アステラス製薬（株）,医薬品,いやくひん
55,4506,大日本住友,大日本住友製薬（株）,医薬品,いやくひん
56,4507,塩野義,塩野義製薬（株）,医薬品,いやくひん
57,4519,中外薬,中外製薬（株）,医薬品,いやくひん
58,4523,エーザイ,エーザイ（株）,医薬品,いやくひん
59,4543,テルモ,テルモ（株）,精密機器,せいみつきき
60,4568,第一三共,第一三共（株）,医薬品,いやくひん
61,4578,大塚ＨＤ,大塚ホールディングス（株）,医薬品,いやくひん
62,4631,ＤＩＣ,ＤＩＣ（株）,化学,かがく
63,4689,ヤフー,ヤフー（株）,サービス,さーびす
64,4704,トレンド,トレンドマイクロ（株）,サービス,さーびす
65,4751,サイバー,（株）サイバーエージェント,サービス,さーびす
66,4755,楽天,楽天（株）,サービス,さーびす
67,4901,富士フイルム,富士フイルムホールディングス（株）,化学,かがく
68,4902,コニカミノル,コニカミノルタ（株）,精密機器,せいみつきき
69,4911,資生堂,（株）資生堂,化学,かがく
70,5019,出光興産,出光興産（株）,石油,せきゆ
71,5020,ＪＸＴＧ,ＪＸＴＧホールディングス（株）,石油,せきゆ
72,5101,浜ゴム,横浜ゴム（株）,ゴム,ごむ
73,5108,ブリヂストン,（株）ブリヂストン,ゴム,ごむ
74,5201,ＡＧＣ,ＡＧＣ（株）,窯業,ようぎょう
75,5202,板硝子,日本板硝子（株）,窯業,ようぎょう
76,5214,日電硝,日本電気硝子（株）,窯業,ようぎょう
77,5232,住友大阪,住友大阪セメント（株）,窯業,ようぎょう
78,5233,太平洋セメ,太平洋セメント（株）,窯業,ようぎょう
79,5301,東海カ,東海カーボン（株）,窯業,ようぎょう
80,5332,ＴＯＴＯ,ＴＯＴＯ（株）,窯業,ようぎょう
81,5333,ガイシ,日本碍子（株）,窯業,ようぎょう
82,5401,日本製鉄,日本製鉄（株）,鉄鋼,てっこう
83,5406,神戸鋼,（株）神戸製鋼所,鉄鋼,てっこう
84,5411,ＪＦＥ,ジェイ　エフ　イー　ホールディングス（株）,鉄鋼,てっこう
85,5541,大平金,大平洋金属（株）,鉄鋼,てっこう
86,5631,日製鋼,（株）日本製鋼所,機械,きかい
87,5703,日軽金ＨＤ,日本軽金属ホールディングス（株）,非鉄・金属,ひてつきんぞく
88,5706,三井金,三井金属鉱業（株）,非鉄・金属,ひてつきんぞく
89,5707,東邦鉛,東邦亜鉛（株）,非鉄・金属,ひてつきんぞく
90,5711,三菱マ,三菱マテリアル（株）,非鉄・金属,ひてつきんぞく
91,5713,住友鉱,住友金属鉱山（株）,非鉄・金属,ひてつきんぞく
92,5714,ＤＯＷＡ,ＤＯＷＡホールディングス（株）,非鉄・金属,ひてつきんぞく
93,5801,古河電,古河電気工業（株）,非鉄・金属,ひてつきんぞく
94,5802,住友電,住友電気工業（株）,非鉄・金属,ひてつきんぞく
95,5803,フジクラ,（株）フジクラ,非鉄・金属,ひてつきんぞく
96,5901,洋缶ＨＤ,東洋製罐グループホールディングス（株）,非鉄・金属,ひてつきんぞく
97,6098,リクルート,（株）リクルートホールディングス,サービス,さーびす
98,6103,オークマ,オークマ（株）,機械,きかい
99,6113,アマダＨＤ,（株）アマダホールディングス,機械,きかい
100,6178,日本郵政,日本郵政（株）,サービス,さーびす
101,6301,コマツ,（株）小松製作所,機械,きかい
102,6302,住友重,住友重機械工業（株）,機械,きかい
103,6305,日立建機,日立建機（株）,機械,きかい
104,6326,クボタ,（株）クボタ,機械,きかい
105,6361,荏原,（株）荏原製作所,機械,きかい
106,6366,千代建,千代田化工建設（株）,機械,きかい
107,6367,ダイキン,ダイキン工業（株）,機械,きかい
108,6471,日精工,日本精工（株）,機械,きかい
109,6472,ＮＴＮ,ＮＴＮ（株）,機械,きかい
110,6473,ジェイテクト,（株）ジェイテクト,機械,きかい
111,6479,ミネベア,ミネベアミツミ（株）,電気機器,でんききき
112,6501,日立,（株）日立製作所,電気機器,でんききき
113,6503,三菱電,三菱電機（株）,電気機器,でんききき
114,6504,富士電機,富士電機（株）,電気機器,でんききき
115,6506,安川電,（株）安川電機,電気機器,でんききき
116,6645,オムロン,オムロン（株）,電気機器,でんききき
117,6674,ＧＳユアサ,（株）ジーエス・ユアサ　コーポレーション,電気機器,でんききき
118,6701,ＮＥＣ,日本電気（株）,電気機器,でんききき
119,6702,富士通,富士通（株）,電気機器,でんききき
120,6703,ＯＫＩ,沖電気工業（株）,電気機器,でんききき
121,6724,エプソン,セイコーエプソン（株）,電気機器,でんききき
122,6752,パナソニック,パナソニック（株）,電気機器,でんききき
123,6758,ソニー,ソニー（株）,電気機器,でんききき
124,6762,ＴＤＫ,ＴＤＫ（株）,電気機器,でんききき
125,6770,アルプスアル,アルプスアルパイン（株）,電気機器,でんききき
126,6841,横河電,横河電機（株）,電気機器,でんききき
127,6857,アドテスト,（株）アドバンテスト,電気機器,でんききき
128,6902,デンソー,（株）デンソー,電気機器,でんききき
129,6952,カシオ,カシオ計算機（株）,電気機器,でんききき
130,6954,ファナック,ファナック（株）,電気機器,でんききき
131,6971,京セラ,京セラ（株）,電気機器,でんききき
132,6976,太陽誘電,太陽誘電（株）,電気機器,でんききき
133,6988,日東電,日東電工（株）,化学,かがく
134,7003,三井Ｅ＆Ｓ,（株）三井Ｅ＆Ｓホールディングス,造船,ぞうせん
135,7004,日立造,日立造船（株）,機械,きかい
136,7011,三菱重,三菱重工業（株）,機械,きかい
137,7012,川重,川崎重工業（株）,造船,ぞうせん1332
138,7013,ＩＨＩ,（株）ＩＨＩ,機械,きかい
139,7186,コンコルディ,（株）コンコルディア・フィナンシャルグループ,銀行,ぎんこう
140,7201,日産自,日産自動車（株）,自動車,じどうしゃ
141,7202,いすゞ,いすゞ自動車（株）,自動車,じどうしゃ
142,7203,トヨタ,トヨタ自動車（株）,自動車,じどうしゃ
143,7205,日野自,日野自動車（株）,自動車,じどうしゃ
144,7211,三菱自,三菱自動車工業（株）,自動車,じどうしゃ
145,7261,マツダ,マツダ（株）,自動車,じどうしゃ
146,7267,ホンダ,本田技研工業（株）,自動車,じどうしゃ
147,7269,スズキ,スズキ（株）,自動車,じどうしゃ
148,7270,ＳＵＢＡＲＵ,（株）ＳＵＢＡＲＵ,自動車,じどうしゃ
149,7272,ヤマハ発,ヤマハ発動機（株）,自動車,じどうしゃ
150,7731,ニコン,（株）ニコン,精密機器,せいみつきき
151,7733,オリンパス,オリンパス（株）,精密機器,せいみつきき
152,7735,スクリン,（株）ＳＣＲＥＥＮホールディングス,電気機器,でんききき
153,7751,キヤノン,キヤノン（株）,電気機器,でんききき
154,7752,リコー,（株）リコー,電気機器,でんききき
155,7762,シチズン,シチズン時計（株）,精密機器,せいみつきき
156,7911,凸版,凸版印刷（株）,その他製造,そのたせいぞう
157,7912,大日印,大日本印刷（株）,その他製造,そのたせいぞう
158,7951,ヤマハ,ヤマハ（株）,その他製造,そのたせいぞう
159,8001,伊藤忠,伊藤忠商事（株）,商社,しょうしゃ
160,8002,丸紅,丸紅（株）,商社,しょうしゃ
161,8015,豊田通商,豊田通商（株）,商社,しょうしゃ
162,8031,三井物,三井物産（株）,商社,しょうしゃ
163,8035,東エレク,東京エレクトロン（株）,電気機器,でんききき
164,8053,住友商,住友商事（株）,商社,しょうしゃ
165,8058,三菱商,三菱商事（株）,商社,しょうしゃ
166,8233,高島屋,（株）高島屋,小売業,こうりぎょう
167,8252,丸井Ｇ,（株）丸井グループ,小売業,こうりぎょう
168,8253,クレセゾン,（株）クレディセゾン,その他金融,そのたきんゆう
169,8267,イオン,イオン（株）,小売業,こうりぎょう
170,8303,新生銀,（株）新生銀行,銀行,ぎんこう
171,8304,あおぞら銀,（株）あおぞら銀行,銀行,ぎんこう
172,8306,三菱ＵＦＪ,（株）三菱ＵＦＪフィナンシャル・グループ,銀行,ぎんこう
173,8308,りそなＨＤ,（株）りそなホールディングス,銀行,ぎんこう
174,8309,三井住友トラ,三井住友トラスト・ホールディングス（株）,銀行,ぎんこう
175,8316,三井住友ＦＧ,（株）三井住友フィナンシャルグループ,銀行,ぎんこう
176,8331,千葉銀,（株）千葉銀行,銀行,ぎんこう
177,8354,ふくおかＦＧ,（株）ふくおかフィナンシャルグループ,銀行,ぎんこう
178,8355,静岡銀,（株）静岡銀行,銀行,ぎんこう
179,8411,みずほＦＧ,（株）みずほフィナンシャルグループ,銀行,ぎんこう
180,8601,大和,（株）大和証券グループ本社,証券,しょうけん
181,8604,野村,野村ホールディングス（株）,証券,しょうけん
182,8628,松井,松井証券（株）,証券,しょうけん
183,8630,ＳＯＭＰＯ,ＳＯＭＰＯホールディングス（株）,保険,ほけん
184,8725,ＭＳ＆ＡＤ,ＭＳ＆ＡＤインシュアランスグループホールディングス（株）,保険,ほけん
185,8729,ソニーＦＨ,ソニーフィナンシャルホールディングス（株）,保険,ほけん
186,8750,第一生命ＨＤ,第一生命ホールディングス（株）,保険,ほけん
187,8766,東京海上,東京海上ホールディングス（株）,保険,ほけん
188,8795,Ｔ＆Ｄ,（株）Ｔ＆Ｄホールディングス,保険,ほけん
189,8801,三井不,三井不動産（株）,不動産,ふどうさん
190,8802,菱地所,三菱地所（株）,不動産,ふどうさん
191,8804,東建物,東京建物（株）,不動産,ふどうさん
192,8830,住友不,住友不動産（株）,不動産,ふどうさん
193,9001,東武,東武鉄道（株）,鉄道・バス,てつどうばす
194,9005,東急,東京急行電鉄（株）,鉄道・バス,てつどうばす
195,9007,小田急,小田急電鉄（株）,鉄道・バス,てつどうばす
196,9008,京王,京王電鉄（株）,鉄道・バス,てつどうばす
197,9009,京成,京成電鉄（株）,鉄道・バス,てつどうばす
198,9020,ＪＲ東日本,東日本旅客鉄道（株）,鉄道・バス,てつどうばす
199,9021,ＪＲ西日本,西日本旅客鉄道（株）,鉄道・バス,てつどうばす
200,9022,ＪＲ東海,東海旅客鉄道（株）,鉄道・バス,てつどうばす
201,9062,日通,日本通運（株）,陸運,りくうん
202,9064,ヤマトＨＤ,ヤマトホールディングス（株）,陸運,りくうん
203,9101,郵船,日本郵船（株）,海運,かいうん
204,9104,商船三井,（株）商船三井,海運,かいうん
205,9107,川崎汽,川崎汽船（株）,海運,かいうん
206,9202,ＡＮＡＨＤ,ＡＮＡホールディングス（株）,空運,くううん
207,9301,三菱倉,三菱倉庫（株）,倉庫,そうこ
208,9412,スカパーＪ,（株）スカパーＪＳＡＴホールディングス,通信,つうしん
209,9432,ＮＴＴ,日本電信電話（株）,通信,つうしん
210,9433,ＫＤＤＩ,ＫＤＤＩ（株）,通信,つうしん
211,9437,ＮＴＴドコモ,（株）ＮＴＴドコモ,通信,つうしん
212,9501,東電ＨＤ,東京電力ホールディングス（株）,電力,でんりょく
213,9502,中部電,中部電力（株）,電力,でんりょく
214,9503,関西電,関西電力（株）,電力,でんりょく
215,9531,東ガス,東京瓦斯（株）,ガス,がす
216,9532,大ガス,大阪瓦斯（株）,ガス,がす
217,9602,東宝,東宝（株）,サービス,さーびす
218,9613,ＮＴＴデータ,（株）エヌ・ティ・ティ・データ,通信,つうしん
219,9681,東京ドーム,（株）東京ドーム,サービス,さーびす
220,9735,セコム,セコム（株）,サービス,さーびす
221,9766,コナミＨＤ,コナミホールディングス（株）,サービス,さーびす
222,9983,ファストリ,（株）ファーストリテイリング,小売業,こうりぎょう
223,9984,ＳＢＧ,ソフトバンクグループ（株）,通信,つうしん
